L_1 (m),t_10,t_10,t_10,t_10,t_10,t_avg,t_0,t_0^2
0.6,15.03,15.43,15.45,15.23,15.56,15.34,1.534,2.353156
0.7,15.65,15.89,15.7,16.57,16.91,16.144,1.6144,2.60628736
0.8,16.889,17.99,17.7,17.15,17.77,17.4998,1.74998,3.06243
0.9,18.99,19.01,18.78,18.86,19.11,18.95,1.895,3.591025
1,19.54,20.11,19.43,19.67,19.99,19.748,1.9748,3.89983504
1.1,21.03,21.13,20.93,20.85,20.78,20.944,2.0944,4.38651136
1.2,22.01,22,22.16,22.09,22.08,22.068,2.2068,4.86996624
,,,,,,,,
,,,,,,,,
,,,,,,,,
L_1 (m),t_0^2,,,,,,,
0.6,0.36,,,,,,,
0.7,0.49,,,,,,,
0.8,0.64,,,,,,,
0.9,0.81,,,,,,,
1,1,,,,,,,
1.1,1.21,,,,,,,
1.2,1.44,,,,,,,